sep=,
index,class,number of faces, number of vertices, type of faces, minimum X value, maximum X value, minimum Y value, maximum Y value, minimum Z value, maximum Z value, baricenter x coordinate, baricenter y coordinate, baricenter z coordinate, path, vertices verdict, volume
159,Human,5274,2639,triangles,-0.318209,0.336627,-0.343994,0.37601,-0.988769,0.836355,-4.85361e-05,-1.63247e-05,-1.13596e-05,9.off,,0.860518
160,Mech,29986,14995,triangles,-0.540315,0.53753,-0.643955,0.811151,-0.536181,0.541664,-0.000110993,-0.000146781,0.000616175,321.off,TOO MANY VERTICES,1.69047
161,Mech,29978,14991,triangles,-0.539344,0.538995,-0.646622,0.809152,-0.539434,0.538905,-0.000197624,-0.000294438,0.000455114,322.off,TOO MANY VERTICES,1.6928
162,Mech,29978,14991,triangles,-0.537188,0.540275,-0.644915,0.809676,-0.536902,0.540561,-3.47973e-06,-9.00366e-05,0.000557518,323.off,TOO MANY VERTICES,1.68867
163,Mech,29620,14812,triangles,-0.663298,0.690454,-0.714382,0.63917,-0.687821,0.665731,0.00702014,-0.00337436,0.000322419,324.off,TOO MANY VERTICES,2.48021
164,Mech,29994,14999,triangles,-0.531933,0.53053,-0.836381,0.768306,-0.787772,0.663571,2.47902e-05,-1.7185e-05,0.000659189,325.off,TOO MANY VERTICES,2.47442
165,Mech,29986,14995,triangles,-0.770241,0.765932,-0.622915,0.716628,-0.571369,0.580761,-1.68136e-05,-3.36153e-05,0.000675066,326.off,TOO MANY VERTICES,2.37082
166,Mech,29870,14937,triangles,-0.645074,0.645262,-0.763935,0.676109,-0.63883,0.565075,-1.64551e-05,-1.1251e-05,0.00059781,327.off,TOO MANY VERTICES,2.23702
167,Mech,29984,14994,triangles,-0.544699,0.546494,-0.634225,0.838902,-0.544273,0.54692,-0.00010885,-0.000201234,0.000515122,328.off,TOO MANY VERTICES,1.75406
168,Mech,29994,14999,triangles,-0.539618,0.545599,-0.635832,0.829228,-0.539271,0.545947,-5.51146e-05,2.89274e-06,0.000665685,329.off,TOO MANY VERTICES,1.7254
169,Mech,29996,15000,triangles,-0.541424,0.543125,-0.639756,0.824401,-0.540723,0.543826,-2.82332e-06,-2.76201e-05,0.000653755,330.off,TOO MANY VERTICES,1.72221
170,Octopus,11888,5944,triangles,-0.991415,0.986945,-0.758653,0.704903,-0.414752,0.153262,-0.000197404,-0.000205713,-0.000166858,121.off,,1.64465
171,Octopus,14498,7251,triangles,-0.901551,0.940585,-0.720917,0.7941,-0.423652,0.242432,-0.000145212,-0.000146939,-0.000116804,122.off,,1.85895
172,Octopus,30982,15493,triangles,-0.715574,0.682964,-0.570047,0.52203,-0.553041,0.707908,-7.49028e-05,-2.23451e-05,-1.75074e-05,123.off,TOO MANY VERTICES,1.92586
173,Octopus,6198,3101,triangles,-0.80821,0.637454,-0.909429,0.869358,-0.285059,0.441054,-0.000386499,-0.000366627,-0.000253127,124.off,,1.86722
174,Octopus,2682,1343,triangles,-0.422841,0.554633,-0.288558,0.56855,-0.412909,0.643629,0.0572835,0.038803,0.214081,125.off,,0.885168
175,Octopus,12646,6325,triangles,-0.354376,0.560565,-0.88462,0.83069,-0.872558,0.800553,-0.000145913,-0.000190824,-4.3718e-05,126.off,,2.62579
176,Octopus,23808,11906,triangles,-0.786409,0.738896,-0.802991,0.808097,-0.487148,0.527044,-2.73291e-05,-0.000104033,-4.469e-05,127.off,TOO MANY VERTICES,2.49228
177,Octopus,12324,6164,triangles,-0.710262,0.635195,-0.33774,0.28308,-0.7959,0.879558,-0.000153246,-0.000175134,-4.10438e-05,128.off,,1.39949
178,Octopus,12284,6144,triangles,-0.935818,0.912539,-0.720373,0.844827,-0.297299,0.473956,-0.000192918,-0.000167282,-0.00012911,129.off,,2.23128
179,Octopus,15490,7747,triangles,-0.694959,0.763065,-0.832477,0.818408,-0.316726,0.527849,-0.000122479,-0.000123664,-8.32467e-05,130.off,,2.03292
180,Plier,8970,4487,triangles,-0.675742,0.51606,-0.079542,0.08539,-0.969787,0.8659,-0.000293957,-0.000255352,-6.06013e-05,201.off,,0.360834
181,Plier,8978,4491,triangles,-0.690559,0.51102,-0.079647,0.08501,-0.975233,0.856318,-0.000278908,-0.00025464,-5.96792e-05,202.off,,0.362369
182,Plier,7808,3906,triangles,-0.707768,0.504725,-0.080493,0.083869,-0.975258,0.837825,-0.000295555,-0.000295994,-7.05346e-05,203.off,,0.361325
183,Plier,8810,4407,triangles,-0.768425,0.968271,-0.075499,0.0791,-0.698498,0.679867,-0.000314043,-0.000246216,-9.53179e-05,204.off,,0.370079
184,Plier,8952,4478,triangles,-0.604776,0.672128,-0.083685,0.088202,-0.965804,0.90787,-0.000210361,-0.000260497,-5.86261e-05,205.off,,0.41124
185,Plier,9584,4794,triangles,-0.741894,0.513922,-0.07958,0.084225,-0.960138,0.854196,-0.000225686,-0.000239421,-5.70142e-05,206.off,,0.373225
186,Plier,10400,5202,triangles,-0.766474,0.626326,-0.079161,0.079515,-0.934075,0.818626,-0.00017171,-0.000214746,-4.9477e-05,207.off,,0.387354
187,Plier,12204,6104,triangles,-0.771048,0.724927,-0.078774,0.082087,-0.878836,0.73547,-0.000103883,-0.0001644,-3.80466e-05,208.off,,0.388473
188,Plier,10216,5110,triangles,-0.770495,0.84498,-0.077523,0.082044,-0.816737,0.66265,-0.000278423,-0.000192989,-5.55974e-05,209.off,,0.381351
189,Plier,11012,5508,triangles,-0.760613,0.911473,-0.079584,0.084707,-0.762512,0.669961,-0.000253186,-0.000185791,-6.25618e-05,210.off,,0.393513
190,Table,27848,13926,triangles,-0.840166,0.840314,-0.550088,0.542058,-0.126016,0.732109,-1.76679e-05,-3.84096e-05,-4.65131e-05,141.off,TOO MANY VERTICES,1.57494
191,Table,19600,9802,triangles,-0.982931,0.999685,-0.267201,0.044393,-0.493251,0.511767,-9.73765e-05,-0.000137823,-7.45915e-05,142.off,,0.620871
192,Table,18536,9270,triangles,-0.981753,0.999881,-0.276534,0.034432,-0.49315,0.511519,-0.000103004,-0.000145838,-8.14138e-05,143.off,,0.619098
193,Table,30160,15082,triangles,-0.98317,0.99959,-0.400061,0.048795,-0.803651,0.807493,-6.73066e-05,-9.48992e-05,-2.88481e-05,144.off,TOO MANY VERTICES,1.43388
194,Table,26408,13206,triangles,-0.632598,0.639463,-0.787751,0.188248,-0.632734,0.639301,-5.97017e-05,-2.51641e-05,-1.28772e-05,145.off,TOO MANY VERTICES,1.57927
195,Table,27424,13714,triangles,-0.718292,0.717468,-0.75512,0.226254,-0.718408,0.717554,-6.13114e-05,-9.62257e-05,-1.46676e-05,146.off,TOO MANY VERTICES,2.0233
196,Table,27406,13705,triangles,-0.806625,0.813267,-0.611105,0.121435,-0.817646,0.802281,-7.32184e-05,-4.84657e-05,-1.61751e-05,147.off,TOO MANY VERTICES,1.92226
197,Table,26746,13375,triangles,-0.982826,0.98573,-0.483853,0.116774,-0.98635,0.982292,-8.14019e-05,-0.00010917,-1.94445e-05,148.off,TOO MANY VERTICES,2.32766
198,Table,27172,13588,triangles,-0.985555,0.980304,-0.515457,0.081562,-0.988281,0.978427,-7.99998e-05,-0.000107271,-1.82362e-05,149.off,TOO MANY VERTICES,2.30824
199,Table,27154,13579,triangles,-0.465275,0.46859,-0.929452,0.203658,-0.456739,0.476957,-4.55494e-05,-9.12227e-05,-1.76334e-05,150.off,TOO MANY VERTICES,0.988011
200,Teddy,27648,13826,triangles,-0.671387,0.678684,-0.728133,0.942907,-0.329366,0.326737,-7.71917e-05,-4.33167e-05,-5.32652e-05,161.off,TOO MANY VERTICES,1.48018
201,Teddy,20188,10096,triangles,-0.618127,0.412347,-0.892339,0.977393,-0.373052,0.565398,-8.77464e-05,-6.29815e-05,-7.08504e-05,162.off,TOO MANY VERTICES,1.80812
202,Teddy,21758,10879,triangles,-0.58393,0.623852,-0.909035,0.95474,-0.338993,0.502105,-0.000101504,-8.0007e-05,-6.87946e-05,163.off,TOO MANY VERTICES,1.89334
203,Teddy,29014,14509,triangles,-0.637077,0.665476,-0.696297,0.977466,-0.343926,0.450824,-0.00010014,-7.92071e-05,-4.58249e-05,164.off,TOO MANY VERTICES,1.73269
204,Teddy,20462,10233,triangles,-0.442105,0.551747,-0.916217,0.985951,-0.356779,0.427515,-0.000147088,-4.49275e-05,-7.91923e-05,165.off,TOO MANY VERTICES,1.48269
205,Teddy,22176,11090,triangles,-0.650798,0.624942,-0.842785,0.980533,-0.383127,0.509331,-0.000140434,-3.50888e-05,-6.3608e-05,166.off,TOO MANY VERTICES,2.07593
206,Teddy,25290,12647,triangles,-0.645426,0.598574,-0.756215,0.965264,-0.381702,0.525836,-0.000125286,-3.00361e-05,-4.95268e-05,167.off,TOO MANY VERTICES,1.94351
207,Teddy,21500,10752,triangles,-0.643046,0.562721,-0.871127,0.974813,-0.32054,0.332394,-0.000148002,-3.45852e-05,-7.80168e-05,168.off,TOO MANY VERTICES,1.45328
208,Teddy,25118,12561,triangles,-0.780276,0.804989,-0.892198,0.923285,-0.286057,0.299525,-8.27819e-05,-6.90214e-05,-6.80789e-05,169.off,TOO MANY VERTICES,1.68532
209,Teddy,24996,12500,triangles,-0.773621,0.74907,-0.885055,0.858182,-0.275354,0.281979,-8.54707e-05,-6.53176e-05,-6.5849e-05,170.off,TOO MANY VERTICES,1.47939
210,Vase,29734,14859,triangles,-0.487363,0.521498,-0.951693,0.991284,-0.537682,0.507211,-2.65829e-05,-6.32202e-05,-1.22177e-05,361.off,TOO MANY VERTICES,2.04819
211,Vase,28952,14476,triangles,-0.348412,0.390271,-0.643778,0.989733,-0.368409,0.368972,6.19843e-06,-2.48091e-05,-1.08843e-06,362.off,TOO MANY VERTICES,0.889758
212,Vase,26864,13434,triangles,-0.290753,0.31544,-0.653612,0.998324,-0.283155,0.31155,4.18072e-06,-4.76351e-05,-6.75899e-06,363.off,TOO MANY VERTICES,0.595533
213,Vase,27100,13548,triangles,-0.830792,0.820759,-0.581783,0.648302,-0.529094,0.554594,4.5086e-05,-1.84657e-05,9.85989e-06,364.off,TOO MANY VERTICES,2.20156
214,Vase,27028,13514,triangles,-0.800453,0.894325,-0.682033,0.672523,-0.83284,0.85725,4.56682e-05,2.08382e-05,1.14275e-05,365.off,TOO MANY VERTICES,3.87989
215,Vase,21274,10637,triangles,-0.470677,0.444454,-0.861363,0.98303,-0.460591,0.480763,2.15868e-06,-4.38131e-05,-2.25884e-05,366.off,TOO MANY VERTICES,1.58887
216,Vase,7800,3900,triangles,-0.894348,0.956669,-0.594694,0.595022,-0.413628,0.524414,-0.000529128,-0.00029985,-0.000243943,367.off,,2.06574
217,Vase,22400,11202,triangles,-0.535044,0.539441,-0.553733,0.785096,-0.643495,0.585329,3.51532e-05,2.00125e-05,-2.2169e-05,368.off,TOO MANY VERTICES,1.76773
218,Vase,27212,13606,triangles,-0.526398,0.617932,-0.804935,0.937945,-0.587743,0.561901,-5.92202e-06,7.88641e-06,5.72248e-06,369.off,TOO MANY VERTICES,2.29288
219,Vase,27836,13920,triangles,-0.550041,0.562622,-0.839186,0.989408,-0.547822,0.562901,6.65455e-06,-2.16859e-06,-9.20329e-06,370.off,TOO MANY VERTICES,2.25989
